,language,source
0,sql,". "" ( ( ' ( ( . ) ,"
1,sql,-
2,sql,.
3,sql,"' vqztdc < ' "" >"
4,sql,) ) and = and ( ( =
5,sql,) ) ) and = and ( ( ( =
6,sql,) ) ) and = and ( ( ( =
7,sql,and =
8,sql,and =
9,sql,and = - -
10,sql,and = - -
11,sql,and = #
12,sql,and = #
13,sql,' and = - -
14,sql,' and = - -
15,sql,' ) and = and ( ' cdyx ' = '
16,sql,' ) and = and ( ' gbzv ' = '
17,sql,' and = and ' hmsf ' = '
18,sql,' and = and ' bnnu ' = '
19,sql,' ) and = and ( ' dypw ' like '
20,sql,' ) and = and ( ' vaiq ' like '
21,sql,' ) ) and = and ( ( ' tygk ' like '
22,sql,' ) ) and = and ( ( ' mzvi ' like '
23,sql,' and = and ' pczj ' like '
24,sql,' and = and ' dshy ' like '
25,sql,""" ) and = and ( ufad "" = "" """
26,sql,""" ) and = and ( vcms "" = "" """
27,sql,""" ) ) and = and ( ( jxul "" = "" """
28,sql,""" ) ) and = and ( ( aagw "" = "" """
29,sql,""" and = and wito "" = "" """
30,sql,""" and = and eafr "" = "" """
31,sql,""" ) and = and ( alis "" like "" """
32,sql,""" ) and = and ( ebqe "" like "" """
33,sql,""" and = and asmj "" like "" """
34,sql,""" and = and rpbj "" like "" """
35,sql,% ' ) and = and ( ' % ' = '
36,sql,% ' ) ) and = and ( ( ' % ' = '
37,sql,% ' and = and ' % ' = '
38,sql,% ' and = and ' % ' = '
39,sql,"% "" and = and % "" = "" """
40,sql,' ) ) ) and = - -
41,sql,' and = - -
42,sql,' and = - -
43,sql,' ) and = - -
44,sql,' ) and = - -
45,sql,' ) ) and = - -
46,sql,' ) ) and = - -
47,sql,% ' and = - -
48,sql,"% "" and = - -"
49,sql,"% "" and = - -"
50,sql,) and = #
51,sql,) and = #
52,sql,) ) and = #
53,sql,) ) and = #
54,sql,) ) ) and = #
55,sql,) ) ) and = #
56,sql,and = #
57,sql,and = #
58,sql,' and = #
59,sql,' and = #
60,sql,' ) and = #
61,sql,' ) and = #
62,sql,% ' and = #
63,sql,% ' and = #
64,sql,"% "" and = #"
65,sql,"% "" and = #"
66,sql,) and = %
67,sql,) and = %
68,sql,) ) and = %
69,sql,) ) and = %
70,sql,) ) ) and = %
71,sql,) ) ) and = %
72,sql,and = %
73,sql,and = %
74,sql,' and = %
75,sql,' and = %
76,sql,' ) and = %
77,sql,' ) and = %
78,sql,% ' ) and = %
79,sql,% ' ) ) and = %
80,sql,% ' ) ) and = %
81,sql,% ' and = %
82,sql,% ' and = %
83,sql,"% "" and = %"
84,sql,"% "" and = %"
85,sql,) ) ) rlike ( select ( case when ( = ) then else x end ) ) and ( ( ( =
