,language,source
4001,sql," . "" ( ( ' ( ( . ) , "
4002,sql,"-"
4003,sql," . "
4004,sql," ' VqZtdC< ' "" >"
4010,sql," ) ) AND = AND ( ( = "
4011,sql," ) ) ) AND = AND ( ( ( = "
4012,sql," ) ) ) AND = AND ( ( ( = "
4013,sql," AND = "
4014,sql," AND = "
4015,sql," AND =  -- "
4016,sql," AND =  -- "
4017,sql," AND = # "
4018,sql," AND = # "
4019,sql," ' AND =  -- "
4020,sql," ' AND =  -- "
4021,sql," ' ) AND = AND ( ' cDYX ' = ' "
4022,sql," ' ) AND = AND ( ' gBzv ' = ' "
4027,sql," ' AND = AND ' hmSF ' = ' "
4028,sql," ' AND = AND ' bNNu ' = ' "
4029,sql," ' ) AND = AND ( ' dypW ' LIKE ' "
4030,sql," ' ) AND = AND ( ' Vaiq ' LIKE ' "
4031,sql," ' ) ) AND = AND ( ( ' TyGk ' LIKE ' "
4032,sql," ' ) ) AND = AND ( ( ' MZvI ' LIKE ' "
4033,sql," ' AND = AND ' PCzj ' LIKE ' "
4034,sql," ' AND = AND ' DShY ' LIKE ' "
4035,sql," "" ) AND = AND ( " UfaD " = " "
4036,sql," "" ) AND = AND ( " vcMs " = " "
4037,sql," "" ) ) AND = AND ( ( " jXul " = " "
4038,sql," "" ) ) AND = AND ( ( " aAgW " = " "
4039,sql," "" AND = AND " WitO " = " "
4040,sql," "" AND = AND " eaFR " = " "
4041,sql," "" ) AND = AND ( " alIS " LIKE " "
4042,sql," "" ) AND = AND ( " Ebqe " LIKE " "
4043,sql," "" AND = AND " ASmj " LIKE " "
4044,sql," "" AND = AND " RPbj " LIKE " "
4045,sql," % ' ) AND = AND ( ' % ' = ' "
4048,sql," % ' ) ) AND = AND ( ( ' % ' = ' "
4049,sql," % ' AND = AND ' % ' = ' "
4050,sql," % ' AND = AND ' % ' = ' "
4051,sql," % "" AND = AND " % " = " "
4074,sql," ' ) ) ) AND =  -- "
4075,sql," ' AND =  -- "
4076,sql," ' AND =  -- "
4077,sql," ' ) AND =  -- "
4078,sql," ' ) AND =  -- "
4079,sql," ' ) ) AND =  -- "
4080,sql," ' ) ) AND =  -- "
4098,sql," % ' AND =  -- "
4099,sql," % "" AND =  -- "
4100,sql," % "" AND =  -- "
4101,sql," ) AND = # "
4102,sql," ) AND = # "
4103,sql," ) ) AND = # "
4104,sql," ) ) AND = # "
4105,sql," ) ) ) AND = # "
4106,sql," ) ) ) AND = # "
4107,sql," AND = # "
4108,sql," AND = # "
4109,sql," ' AND = # "
4110,sql," ' AND = # "
4111,sql," ' ) AND = # "
4112,sql," ' ) AND = # "
4127,sql," % ' AND = # "
4128,sql," % ' AND = # "
4129,sql," % "" AND = # "
4130,sql," % "" AND = # "
4131,sql," ) AND = % "
4132,sql," ) AND = % "
4133,sql," ) ) AND = % "
4134,sql," ) ) AND = % "
4135,sql," ) ) ) AND = % "
4136,sql," ) ) ) AND = % "
4137,sql," AND = % "
4138,sql," AND = % "
4139,sql," ' AND = % "
4140,sql," ' AND = % "
4141,sql," ' ) AND = % "
4142,sql," ' ) AND = % "
4154,sql," % ' ) AND = % "
4155,sql," % ' ) ) AND = % "
4156,sql," % ' ) ) AND = % "
4157,sql," % ' AND = % "
4158,sql," % ' AND = % "
4159,sql," % "" AND = % "
4160,sql," % "" AND = % "
4167,sql," ) ) ) RLIKE ( SELECT ( CASE WHEN ( = ) THEN  ELSE x END ) ) AND ( ( ( = "
4168,sql," ) ) ) RLIKE ( SELECT ( CASE WHEN ( = ) THEN  ELSE x END ) ) AND ( ( ( = "
4169,sql," RLIKE ( SELECT ( CASE WHEN ( = ) THEN  ELSE x END ) ) "
4183,sql," ' RLIKE ( SELECT ( CASE WHEN ( = ) THEN  ELSE x END ) ) AND ' OeUn ' = ' "
4184,sql," ' RLIKE ( SELECT ( CASE WHEN ( = ) THEN  ELSE x END ) ) AND ' zXyC ' = ' "
4185,sql," ' ) RLIKE ( SELECT ( CASE WHEN ( = ) THEN  ELSE x END ) ) AND ( ' TvFo ' LIKE ' "
4186,sql," ' ) RLIKE ( SELECT ( CASE WHEN ( = ) THEN  ELSE x END ) ) AND ( ' FsIA ' LIKE ' "
4187,sql," ' ) ) RLIKE ( SELECT ( CASE WHEN ( = ) THEN  ELSE x END ) ) AND ( ( ' CqsG ' LIKE ' "
4188,sql," ' ) ) RLIKE ( SELECT ( CASE WHEN ( = ) THEN  ELSE x END ) ) AND ( ( ' zBYL ' LIKE ' "
4189,sql," ' RLIKE ( SELECT ( CASE WHEN ( = ) THEN  ELSE x END ) ) AND ' CqBu ' LIKE ' "
4190,sql," ' RLIKE ( SELECT ( CASE WHEN ( = ) THEN  ELSE x END ) ) AND ' cFba ' LIKE ' "
4191,sql," "" ) RLIKE ( SELECT ( CASE WHEN ( = ) THEN  ELSE x END ) ) AND ( " IIpT " = " "
4204,sql," % ' ) ) RLIKE ( SELECT ( CASE WHEN ( = ) THEN  ELSE x END ) ) AND ( ( ' % ' = ' "
4205,sql," % ' RLIKE ( SELECT ( CASE WHEN ( = ) THEN  ELSE x END ) ) AND ' % ' = ' "
4206,sql," % ' RLIKE ( SELECT ( CASE WHEN ( = ) THEN  ELSE x END ) ) AND ' % ' = ' "
4207,sql," % "" RLIKE ( SELECT ( CASE WHEN ( = ) THEN  ELSE x END ) ) AND " % " = " "
4208,sql," % "" RLIKE ( SELECT ( CASE WHEN ( = ) THEN  ELSE x END ) ) AND " % " = " "
4209,sql," ) AND MAKE_SET ( = , )  -- "
4210,sql," ) AND MAKE_SET ( = , )  -- "
4211,sql," ) AND MAKE_SET ( = , ) AND ( = "
4212,sql," ) AND MAKE_SET ( = , ) AND ( = "
4213,sql," ) ) AND MAKE_SET ( = , ) AND ( ( = "
4222,sql," AND MAKE_SET ( = , ) # "
4223,sql," ' AND MAKE_SET ( = , )  -- "
4224,sql," ' AND MAKE_SET ( = , )  -- "
4243,sql," "" AND MAKE_SET ( = , ) AND " LuJw " = " "
4244,sql," "" AND MAKE_SET ( = , ) AND " xNaQ " = " "
4245,sql," "" ) AND MAKE_SET ( = , ) AND ( " bTji " LIKE " "
4246,sql," "" ) AND MAKE_SET ( = , ) AND ( " onIU " LIKE " "
4247,sql," "" AND MAKE_SET ( = , ) AND " jrZW " LIKE " "
4248,sql," "" AND MAKE_SET ( = , ) AND " VAXz " LIKE " "
4249,sql," % ' ) AND MAKE_SET ( = , ) AND ( ' % ' = ' "
4250,sql," % ' ) AND MAKE_SET ( = , ) AND ( ' % ' = ' "
4251,sql," % ' ) ) AND MAKE_SET ( = , ) AND ( ( ' % ' = ' "
4252,sql," % ' ) ) AND MAKE_SET ( = , ) AND ( ( ' % ' = ' "
4253,sql," % ' AND MAKE_SET ( = , ) AND ' % ' = ' "
4254,sql," % ' AND MAKE_SET ( = , ) AND ' % ' = ' "
4255,sql," % "" AND MAKE_SET ( = , ) AND " % " = " "
4256,sql," % "" AND MAKE_SET ( = , ) AND " % " = " "
4305,sql," ) AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS NULL -- "
4306,sql," ) AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS NULL -- "
4307,sql," ) AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS NULL AND ( = "
4308,sql," ) AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS NULL AND ( = "
4309,sql," ) ) AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS NULL AND ( ( = "
4310,sql," ) ) AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS NULL AND ( ( = "
4311,sql," ) ) ) AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS NULL AND ( ( ( = "
4312,sql," ) ) ) AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS NULL AND ( ( ( = "
4313,sql," AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS "
4314,sql," AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS "
4315,sql," AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS NULL -- "
4316,sql," AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS NULL -- "
4317,sql," AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS NULL # "
4318,sql," AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS NULL # "
4319,sql," ' AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS NULL -- "
4320,sql," ' AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS NULL -- "
4321,sql," ' ) AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS NULL AND ( ' noke ' = ' "
4322,sql," ' ) AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS NULL AND ( ' WNue ' = ' "
4323,sql," ' ) ) AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS NULL AND ( ( ' dIWO ' = ' "
4324,sql," ' ) ) AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS NULL AND ( ( ' aYqH ' = ' "
4325,sql," ' ) ) ) AND ( SELECT ( CASE WHEN ( = ) THEN NULL ELSE CTXSYS . DRITHSX . SN ( , ) END ) FROM DUAL ) IS NULL AND ( ( ( ' iUZJ ' = ' "
