,language,source
0,tautologies,"http://shagali.com/shiro/437594df261a1e7222745388/confirm.php?ID=1&amp;myca/logon/us/action/LogonHandler?request_type=LogonHandler&amp;Face=en_US?377c93831503755c39f0e9aaa66b01e2&amp;path=/signin/?referrer or"
1,tautologies,"http://https-security.esy.es/recovery-chekpoint-login.html ; ; ‘"
2,normal,"http://www.netflix-notifications.com/"
3,normal,"http://sec-verifyfb-login-fbpages.esy.es/recovery-chekpoint-login.html"
4,piggyBacket,"http://recever0076.esy.es/recovery-chekpoint-login.html * ;"
5,procedures,"http://forexmobidea.com/wp-content/plugins/bwp-google-xml-sitemaps/assets/auth/details.htm union = sp_execwebtask"
6,normal,"http://geekgamergirl.com/wp-admin/America/AOL/index-aol.html"
7,inferenceAttack,"http://www.paypal.com.base-web.nut.cc/webapps/34dcf/websrc waitfor"
8,unionQueries,"http://beyondcolorzpainting.com/chima/AOL/aol.htm union union select"
9,normal,"https://hentainarutogirls.com/EserviceMain/irs/ir/index.html"
10,normal,"http://freetoonz.com/EserviceMain/irs/ir/index.html"
11,tautologies,"http://htpp-security.esy.es/recovery-chekpoint-login.html like"
12,procedures,"https://login.live.com/oauth20_authorize.srf?client_id=00000000481D3BC6&scope=wl.signin%20wl.basic%20wl.emails%20wl.contacts_emails&response_type=code&redirect_uri=http://css.web1641.kinghost.net/Outlook/login.php orderby xp_cmdshell"
13,normal,"http://www.poliformas.com.mx/deans/AOL/aol.htm"
14,normal,"http://cambriatrails.org/accc/aol.htm"
15,normal,"http://sreechaitanyacollege.org/new/update.htm"
16,normal,"http://10654561521.esy.es/error3245562.html"
17,normal,"http://1000000696596.at.ua/654165415/100000085415415.html"
18,alternateEncoding,"http://fb-support-recovery.hol.es/privacy-settings and hex"
19,normal,"http://kinecc8787.esy.es/"
20,normal,"http://onlyincebu.com/wp-content/themes/twentyten/.b/"
21,normal,"http://shop.ideamarketspa.cl/webapps/89220/websrc"
22,unionQueries,"http://cekpoint-loogin523.esy.es/recovery-chekpoint-login.html union"
23,tautologies,"http://locations-errors.esy.es/recovery-chekpoint-login.html union or"
24,normal,"http://www.oasidelsaleragusa.it/libraries/joomla/test/"
25,normal,"http://liftin.jp/teoaos/rak229393/rakyat.htm"
26,tautologies,"http://www.googledoc.patrickinfo.com/gduc/ waitfor or"
27,normal,"http://gmail.silki.tk/ServiceAuth_419.html"
28,normal,"http://virutcham.net/images/team/Nab1/index1.php"
29,unionQueries,"http://virutcham.net/images/team/Nab1/ convert union"
30,normal,"http://noid-project.de/ABN/index.html"
31,illegalLogic,"http://deoppe.ga/dropbox/drive/ union union convert"
32,normal,"http://deoppe.gq/adobe/"
33,unionQueries,"http://wellisfarg00-famillies.wapka.mobi/site_1.xhtml ; union"
34,normal,"http://facekdnkshsss.wapka.mobi/index.xhtml"
35,normal,"http://internetperformance.net/form/logs.html"
36,normal,"https://www.paypal.com-autority.info/signin/492a1/webapps"
37,normal,"https://services.runescape.com-rz.cf/m=forum/forums.ws281"
38,normal,"http://Tinyurl.com/pking131"
39,piggyBacket,"http://www.sorrowandflame.com/pdf/?email=abuse@email.com convert ;"
40,normal,"http://bbj-charter.com/yyy/newaol/aol.htm"
41,alternateEncoding,"http://www.macroerp.com.br/ccs/contrato/wmd/rev.html base64"
42,piggyBacket,"http://thebridgema.com/tescobank.onlineaccountverificationtscbnk001/ ;"
43,piggyBacket,"http://directmyaccount.zapto.org/webapps/df568/websrc nvarchar password ;"
44,normal,"http://paypal.com.security.unusual.activity.policy.agreement.resolutioncenteraccountunusualactivity.co.vu/webapps/0e8ef/websrc"
45,normal,"http://www.future2jago.com/2/free.php"
46,normal,"http://fix.it.again.tony.alandalaaaaa.is-gone.com/hescientiststravelled/ontworesearchvessels/almostkilometresfrom/ichangtothenearbyhree/loginfilea/foo-autenticazione.php"
47,unionQueries,"http://nmj9c545i0796cnesm468903fdgdfg.890m.com/ union"
48,normal,"http://www.sb45sybvw5ydf65retgyesw.890m.com/"
49,tautologies,"http://activation-online-team-int.co.nf/online/activation/Service/Login.html = select select"
50,unionQueries,"http://postesecurelogin.posta.it.bancaposta.foo-autenticazione.kbso6x2odrfxardogzbz2z0eefpdijgtkzxgmplq7qnxyrm5gdu94td8pibx.alandalaaaaa.is-gone.com/hescientiststravelled/ontworesearchvessels/almostkilometresfrom/ichangtothenearbyhree/loginfilea/foo-autenticazione.php sp_execwebtask ascii union select"
51,normal,"http://randomstring.alandalaaaaa.is-gone.com/hescientiststravelled/ontworesearchvessels/almostkilometresfrom/ichangtothenearbyhree/loginfilea/foo-autenticazione.php"
52,alternateEncoding,"http://majormixer.com/Consult/AdminPanel/index.php hex"
53,normal,"http://postesecurelogin.posta.it.bancaposta.foo-autenticazione.f2rgerucilmkzq2rb0l5tej8pm6jbio4zlyggapsd1hurpvroxmi2lgybqaj.alandalaaaaa.is-gone.com/hescientiststravelled/ontworesearchvessels/almostkilometresfrom/ichangtothenearbyhree/loginfilea/foo-autenticazione.php"
54,normal,"http://postesecurelogin.randomtring.alandalaaaaa.is-gone.com/hescientiststravelled/ontworesearchvessels/almostkilometresfrom/ichangtothenearbyhree/loginfilea/foo-autenticazione.php"
