,language,source
35,SQL,"INSERT INTO CUSTOMER (customerid,customername) VALUES(,'alpha') ; INSERT INTO CUSTOMER (customerid,customername) VALUES(,'beta'); DROP CUSTOMER; SAVEPOINT s; INSERT INTO CUSTOMER (customerid,customername) VALUES(,'gamma'); SAVEPOINT s; INSERT INTO CUSTOMER (customerid,customername) VALUES(,'tera'); SAVEPOINT s; INSERT INTO CUSTOMER (customerid,customername) VALUES(,'omega'); ROLLBACK TO s; SELECT customername FROM CUSTOMER;"
158,SQL,"CREATE TABLE CosineTable ( Angle INT NOT NULL, CosValue FLOAT NOT NULL PRIMARY KEY (Angle), UNIQUE (CosValue) );"
197,SQL,"CREATE TABLE CosineTable ( Angle SMALLINT NOT NULL, CosValue FLOAT NOT NULL, PRIMARY KEY (Angle), UNIQUE (CosValue) );"
219,SQL,"CREATE TABLE CosineTable ( Angle INT NOT NULL, CosValue INT NOT NULL, PRIMARY KEY (Angle), UNIQUE (CosValue) ); INSERT INTO CosineTable (Angle, CosValue) VALUES (,), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,); SELECT ((SELECT CosValue FROM CosineTable WHERE Angle = ) + ((SELECT CosValue FROM CosineTable WHERE Angle = ) - (SELECT CosValue FROM CosineTable WHERE Angle = )) * (-)/(-)) FROM CosineTable;"
226,SQL,"CREATE TABLE CosineTable ( Angle SMALLINT NOT NULL, CosValue INT NOT NULL, PRIMARY KEY (Angle), UNIQUE (CosValue) ); INSERT INTO CosineTable (Angle, CosValue) VALUES (,), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,); SELECT * FROM CosineTable;-- your code goes here;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
228,SQL,"CREATE TABLE company ( company_id INT NOT NULL PRIMARY KEY, company_name varchar(), account_id INT NOT NULL, account_name varchar() );"
306,SQL,"CREATE TABLE songs (name, date, length); -- your code goes here;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
360,SQL,"CREATE TABLE CosineTable( Angle INTEGER PRIMARY KEY, CosValue DECIMAL(,) NOT NULL ); Insert into CosineTable values (,),(,.),(,.),(,.),(,.),(,.),(,.), (,.),(,.),(,.),(,.),(,.),(,.),(,.),(,.),(,.), (,.),(,.),(,); Select -- /*CosValue + ((Select CosValue from cosineTable tbl where tbl.Angle = r.Angle +)- CosValue) */-- * -- /*(( - r.Angle)/.) */ -- from cosineTable r where (r.Angle < ) and (r.Angle + > )  and   r.Angle = r.Angle;"
372,SQL,"CREATE TABLE CosineTable ( Angle INT NOT NULL, CosValue INT NOT NULL, PRIMARY KEY (Angle), UNIQUE (CosValue) ); INSERT INTO CosineTable (Angle, CosValue) VALUES (,), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,); SELECT DISTINCT(SELECT CosValue FROM CosineTable WHERE Angle > - AND Angle < ) + ((SELECT CosValue FROM CosineTable WHERE Angle < + AND Angle > ) - (SELECT CosValue FROM CosineTable WHERE Angle > - AND Angle < )) * ( - (SELECT Angle FROM CosineTable WHERE Angle > - AND Angle < )) / ((SELECT Angle FROM CosineTable WHERE Angle < + AND Angle > ) - (SELECT Angle FROM CosineTable WHERE Angle > - AND Angle < )) FROM CosineTable;"
822,SQL,"CREATE TABLE CosineTable ( Angle INT NOT NULL, CosValue INT NOT NULL, PRIMARY KEY (Angle), UNIQUE (CosValue) ); INSERT INTO CosineTable (Angle, CosValue) VALUES (,), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,); SELECT MAX(CosValue) + (MIN(CosValue)-MAX(CosValue)) * (-MIN(Angle)) / (MAX(Angle)-MIN(Angle)) FROM CosineTable WHERE Angle > - AND Angle < + ;"
885,SQL,"CREATE TABLE CosineTable ( Angle INT NOT NULL, CosValue INT NOT NULL, PRIMARY KEY (Angle), UNIQUE (CosValue) ); INSERT INTO CosineTable (Angle, CosValue) VALUES (,), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,); SELECT MAX(CosValue) + (MIN(CosValue) - MAX(CosValue)) * ( - MIN(Angle)) / (MAX(Angle) - MIN(Angle)) FROM CosineTable WHERE Angle > - AND Angle < + ;"
887,SQL,"create table emp (id number,name varchar(),dept varchar()); insert into emp values(,'anu',); insert into emp values(,'vinu',); insert into emp values(,'RASa',); insert into emp values(,'AAdil',); insert into emp values(,'aadersh',); insert into emp values(,'Aanand',); select* from emp where id between and ;"
1018,SQL,"CREATE TABLE Salaries( CheckNum INTEGER PRIMARY KEY, Amount DECIMAL(,) NOT NULL ); insert into Salaries (CheckNum, Amount) values (, ), (, ), (, .), (, ), (, .), (, ), (, ), (, .), (, ); select Amount, count(Amount) as AmountCount from Salaries join Salaries SalariesMax on Salaries.CheckNum = SalariesMax.CheckNum group by Salaries.Amount having Salaries.AmountCount = max(SalariesMax.AmountCount) order by Salaries.AmountCount desc;"
1022,SQL,"create table events ( id int(), user_id int(), name varchar(), yyyy int(), mm int(), aspect varchar() ); create table responses ( response_id int(), event_id int(), response_string varchar() ); insert into events values (, , 'registration', , , 'invite_friends'), (, , 'registration', , , 'invite_friends'), (, , 'survey_question', , , 'motivation'), (, , 'survey_question', , , 'motivation'), (, , 'survey_question', , , 'motivation'), (, , 'survey_question', , , 'motivation'); insert into responses values (, , 'yes'), (, , 'no'), (, , 'high_fives'), (, , 'tough_love'), (, , 'evening'), (, , 'morning'); -- select count(*) from events; -- select count(*) from responses; -- example query: -- select count(*) -- from events -- where name = 'survey_question' -- and aspect = 'motivation'; -- . Write a query that would show how many different survey questions we've asked select count(distinct(aspect)) from events where name = 'survey_question';"
1165,SQL,"CREATE TABLE Salaries( CheckNum INTEGER PRIMARY KEY, Amount DECIMAL(,) NOT NULL ); INSERT INTO Salaries (CheckNum, Amount) VALUES (,), (,), (,), (,), (,), (,), (,), (,), (,);"
1170,SQL,"CREATE TABLE Salaries( CheckNum INTEGER PRIMARY KEY, Amount DECIMAL(,) NOT NULL ); INSERT INTO Salaries (CheckNum, Amount) VALUES (,), (,), (,), (,), (,), (,), (,), (,), (,); SELECT * FROM (SELECT Amount, Count(Amount) AS TotalAmount FROM Salaries GROUP BY Amount) HAVING TotalAmount = SELECT MAX(TotalAmount) FROM (SELECT Amount, Count(Amount) AS TotalAmount FROM Salaries GROUP BY Amount);"
1256,SQL,"select ' or `ab`=`a`+'b'"
1368,SQL,"CREATE TABLE CosineTable ( Angle INT NOT NULL, CosValue INT NOT NULL, PRIMARY KEY (Angle), UNIQUE (CosValue) ); INSERT INTO CosineTable (Angle, CosValue) VALUES (,), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,); SELECT * FROM CosineTable; SELECT MAX(CosValue) + (MIN(CosValue) - MAX(CosValue)) * ( - MIN(Angle)) / (MAX(Angle) - MIN(Angle)) FROM CosineTable WHERE Angle > - AND Angle < + ;"
1387,SQL,"Select (Select ) As MySubQueryValue;"
1476,SQL,"CREATE TABLE CosineTable ( Angle INT NOT NULL, CosValue DECIMAL(,) NOT NULL, PRIMARY KEY (Angle), UNIQUE (CosValue) ); INSERT INTO CosineTable (Angle, CosValue) VALUES (,), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,); SELECT * FROM CosineTable; SELECT MAX(CosValue) + (MIN(CosValue) - MAX(CosValue)) * ( - MIN(Angle)) / (MAX(Angle) - MIN(Angle)) FROM CosineTable WHERE Angle > - AND Angle < + ;"
1491,SQL,"CREATE TABLE CosineTable ( Angle INTEGER NOT NULL, CosValue DOUBLE NOT NULL, PRIMARY KEY (Angle), UNIQUE (CosValue) ); INSERT INTO CosineTable (Angle, CosValue) VALUES (,), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,); SELECT * FROM CosineTable; SELECT MAX(CosValue) + (MIN(CosValue) - MAX(CosValue)) * ( - MIN(Angle)) / (MAX(Angle) - MIN(Angle)) FROM CosineTable WHERE Angle > - AND Angle < + ;"
1497,SQL,"CREATE TABLE CosineTable ( Angle INTEGER NOT NULL, CosValue INTEGER NOT NULL, PRIMARY KEY (Angle), UNIQUE (CosValue) ); INSERT INTO CosineTable (Angle, CosValue) VALUES (,), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,); SELECT * FROM CosineTable; SELECT MAX(CosValue) + (MIN(CosValue) - MAX(CosValue)) * ( - MIN(Angle)) / (MAX(Angle) - MIN(Angle)) FROM CosineTable WHERE Angle > - AND Angle < + ;"
1499,SQL,"SELECT Amount, COUNT('Amount') FROM Salaries;"
1521,SQL,"CREATE TABLE CosineTable ( Angle INTEGER NOT NULL, CosValue DECIMAL(,) NOT NULL, PRIMARY KEY (Angle), UNIQUE (CosValue) ); INSERT INTO CosineTable (Angle, CosValue) VALUES (,), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,); SELECT * FROM CosineTable; SELECT MAX(CosValue) + (MIN(CosValue) - MAX(CosValue)) * ( - MIN(Angle)) / (MAX(Angle) - MIN(Angle)) FROM CosineTable WHERE Angle > - AND Angle < + ;"
1670,SQL,"CREATE TABLE numbers ( id INTEGER PRIMARY KEY, name TEXT, number INTEGER ); INSERT INTO numbers (id, name, number) VALUES (, 'Math Class Girl', --), (, 'Starbucks Girl', --), (, 'Redhead Girl', --), (, 'Steve', --), (, 'Froyo Girl', --);"
1677,SQL,"CREATE TABLE numbers ( id INTEGER PRIMARY KEY, name TEXT, number INTEGER ); INSERT INTO numbers (id, name, number) VALUES (, 'Math Class Girl', --), (, 'Starbucks Girl', --), (, 'Redhead Girl', --), (, 'Steve', --), (, 'Froyo Girl', --); SELECT * FROM numbers;"
1789,SQL,"create table emp (id number,name varchar(),dept varchar()); insert into emp values(,'anu',); insert into emp values(,'vinu',); insert into emp values(,'RASa',); insert into emp values(,'AAdil',); insert into emp values(,'aadersh',); insert into emp values(,'Aanand',); select name from emp where name like %aa% ;"
1794,SQL,"create table emp (id number,name varchar(),dept varchar()); insert into emp values(,'anu',); insert into emp values(,'vinu',); insert into emp values(,'RASa',); insert into emp values(,'AAdil',); insert into emp values(,'aadersh',); insert into emp values(,'Aanand',); select name from emp where name like '%aa%' ;"
1809,SQL,"CREATE TABLE Salaries( CheckNum INTEGER PRIMARY KEY, Amount DECIMAL(,) NOT NULL ); INSERT INTO Salaries (CheckNum, Amount) VALUES (, ), (, ), (, ). (, ), (, ), (, .), (, ); SELECT Amount, COUNT(DISTINCT CHECK_NUM) FROM Salaries GROUP BY Amount Having COUNT(DISTINCT CHECK_NUM) = (SELECT MAX(COUNT(DISTINCT CHECK_NUM) FROM SALARIES);"
1854,SQL,"create table CosineTable( Angle int, CosValue float ); Insert into CosineTable (Angle, CosValue) Values (,), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,); Select as x, CosValue as a From CosineTable where Angle like 'x%'; Select * From (Values ('')) as x; Select CosValue as a From CosineTable Where Angle like '%' and Angle < ; Select CosValue as b From CosineTable Where Angle like '%' and Angle > ;"
1861,SQL,"CREATE TABLE numbers ( id INTEGER PRIMARY KEY, name VARCHAR(), number VARCHAR() ); INSERT INTO numbers (id, name, number) VALUES (, 'Math Class Girl', '--'), (, 'Starbucks Girl', '--'), (, 'Redhead Girl', '--'), (, 'Steve', '--'), (, 'Froyo Girl', '--');"
1903,SQL,"-- your code goes here CREATE TABLE Salaries( CheckNum INTEGER PRIMARY KEY, Amount DECIMAL(,) NOT NULL ); INSERT INTO Salaries (CheckNum, Amount) VALUES (, ), (, ), (, ). (, ), (, ), (, .), (, ); SELECT Amount, COUNT(DISTINCT CHECK_NUM) FROM Salaries GROUP BY Amount Having COUNT(DISTINCT CHECK_NUM) = (SELECT MAX(COUNT(DISTINCT CHECK_NUM) FROM SALARIES);"
1904,SQL,"-- your code goes here CREATE TABLE Salaries( CheckNum INTEGER PRIMARY KEY, Amount DECIMAL(,) NOT NULL ); INSERT INTO Salaries (CheckNum, Amount) VALUES (, ), (, ), (, ), (, ), (, ), (, .), (, ); SELECT Amount, COUNT(DISTINCT CHECK_NUM) FROM Salaries GROUP BY Amount HAVING COUNT(DISTINCT CHECK_NUM) = (SELECT MAX(COUNT(DISTINCT CHECK_NUM)) FROM SALARIES);"
1913,SQL,"-- your code goes here -- your code goes here CREATE TABLE Salaries( CheckNum INTEGER PRIMARY KEY, Amount DECIMAL(,) NOT NULL ); INSERT INTO Salaries (CheckNum, Amount) VALUES (, ), (, ), (, ), (, ), (, ), (, .), (, ); SELECT Amount, COUNT(CheckNum) FROM Salaries GROUP BY Amount HAVING COUNT(CheckNum) = (SELECT MAX(COUNT(CheckNum)) FROM SALARIES);"
1930,SQL,"-- your code goes here -- your code goes here -- your code goes here CREATE TABLE Salaries( CheckNum INTEGER PRIMARY KEY, Amount DECIMAL(,) NOT NULL ); INSERT INTO Salaries (CheckNum, Amount) VALUES (, ), (, ), (, ), (, ), (, ), (, .), (, ); SELECT * From Salaries;"
1986,SQL,"-- your code goes here -- your code goes here -- your code goes here CREATE TABLE Salaries( CheckNum INTEGER PRIMARY KEY, Amount DECIMAL(,) NOT NULL ); INSERT INTO Salaries (CheckNum, Amount) VALUES (, ), (, ), (, ), (, ), (, ), (, .), (, ); SELECT Amount, COUNT(*) as CountMax FROM Salaries GROUP BY Amount WHERE (CountMax = (SELECT MAX(CountMax)));"
2035,SQL,"CREATE TABLE CosineTable ( Angle INTEGER NOT NULL, CosValue DECIMAL() NOT NULL, PRIMARY KEY (Angle), UNIQUE (CosValue) ); INSERT INTO CosineTable (Angle, CosValue) VALUES (,), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,.), (,); SELECT MAX(CosValue) + (MIN(CosValue) - MAX(CosValue)) * ( - MIN(Angle)) / (MAX(Angle) - MIN(Angle)) FROM CosineTable WHERE Angle > - AND Angle < + ;"
2051,SQL,"create table tbl(str varchar()); insert into tbl values('Hello world!'); select * from tbl;"
2058,SQL,"CREATE TABLE Salaries( CheckNum INTEGER PRIMARY KEY, Amount DECIMAL(,) NOT NULL ); insert into Salaries values (, ), (, ), (, ) ; select count(Amount) from Salaries group by Amount order by count(Amount) desc;"
